Unnamed: 0,Name,JapaneseName,Station,FirstCategory,SecondCategory,AVG_DinnerPrice_USD$,AVG_LunchPrice_USD,TotalRating,DinnerRating,LunchRating,ReviewNum,Lat,Long,Cost_Rating_Dinner,Cost_Rating_Lunch
1,Orudeidainingurajou  ,オールデイダイニング　ラジョウ,Kyoto,Buffet style,Cafe,42.0,24.0,3.39,3.2,3.38,56,34.9861751483108,135.761313932311,13.125,7.100591715976331
2,Steak Frites Gaspard zinzin  ,ステックフリット ガスパール ザンザン,Karasuma,Bistro,Steak,33.0,14.0,3.18,3.06,3.33,70,35.0058257987896,135.759856759688,10.784313725490195,4.2042042042042045
5,Shaofeiyan  ,小肥羊 京都河原町店,Kyoto Shiyakusho Mae,Chinese hot pot / fire pot,Chinese,42.0,14.0,3.16,3.16,3.05,23,35.00790072262,135.768201804433,13.291139240506329,4.59016393442623
6,okuta-va  ,OCTAVAR,Kyoto,Bar,Italian,42.0,14.0,3.08,3.0,3.11,24,34.9834970882448,135.760559396056,14.0,4.501607717041801
7,Resort dining&bar HaLe  ,Resort dining&bar HaLe 河原町店,Sanjo,Italian,Bar,33.0,14.0,3.04,3.05,3.0,22,35.007194709143704,135.769468120661,10.819672131147541,4.666666666666667
12,Gionabesu  ,祇園 Abbesses,Gion Shijo,French,Italian,85.0,65.0,3.58,3.54,3.56,120,35.001953696563895,135.774821250723,24.01129943502825,18.258426966292134
14,gionni-yongo  ,祗園245,Sanjo Keihan,Italian,French,117.0,65.0,3.85,3.83,3.75,39,35.0063010233471,135.775622650675,30.548302872062663,17.333333333333332
18,Sakaean  ,さかえ庵,Karasuma,Izakaya (Tavern),Nihonshu (Japanese sake),24.0,,3.09,3.1,3.06,31,35.0046837389483,135.76241409988398,7.741935483870967,
20,ANAGOYA NORESORE  ,穴子家 NORESORE 京都本店,Nijojo Mae,Izakaya (Tavern),Seafood,52.0,24.0,3.5,3.07,3.55,16,35.0125846891279,135.75361946650298,16.938110749185668,6.760563380281691
24,kyoutohyouto  ,京都 瓢斗 京都店,Karasuma,Pork Shabu Shabu,Shabu Shabu (Japanese Steamboat),85.0,24.0,3.64,3.66,3.58,46,35.0055907972466,135.758329397355,23.224043715846992,6.70391061452514
26,Kushiyachouemon  ,長右衛門 京都烏丸店,Karasuma,Izakaya (Tavern),Yakitori (Grilled chicken),33.0,,3.03,3.03,3.02,10,35.0050884162122,135.762063832564,10.891089108910892,
27,Torattoriaviare  ,トラットリアヴィアーレ 京都本店,Kiyomizu Gojo,Italian,Western Cuisine,52.0,14.0,3.44,3.3,3.31,33,34.9985422700966,135.767682833969,15.757575757575758,4.229607250755287
31,Kurogewagyuutenshou  ,黒毛和牛 天正,Marutamachi,Yakiniku (BBQ Beef),Sukiyaki,52.0,,3.5,3.47,3.16,13,35.014663751236895,135.76036464392598,14.985590778097983,
38,Kyoutodaina  ,京都ダイナー,Karasuma,Bistro,Bar,33.0,24.0,3.54,3.53,3.32,82,35.005306746115195,135.76388077677402,9.34844192634561,7.228915662650603
39,Zasoudouhigashiyamakyouto  ,THE SODOH HIGASHIYAMA KYOTO,Gion Shijo,Italian,Pasta,65.0,24.0,3.61,3.61,3.58,272,34.9988963304625,135.779667933418,18.005540166204987,6.70391061452514
42,Tsukihikarasuma  ,月陽 KARASUMA,Shijo,Izakaya (Tavern),Creative cuisine,42.0,14.0,3.17,3.17,3.03,35,35.0014042831755,135.757332172929,13.249211356466878,4.62046204620462
43,Kyoutotempuraendou  ,京都 天ぷら圓堂 岡崎邸,Higashiyama,Tempura,Kaiseki (Traditional Japanese),117.0,52.0,3.55,3.45,3.59,6,35.016166715603,135.78025014546,33.91304347826087,14.484679665738161
46,Trattoria La Pace  ,トラットリア ラパーチェ,Karasuma,Italian,Pizza,42.0,14.0,3.51,3.3,3.51,52,35.0052600869409,135.763347606931,12.727272727272728,3.988603988603989
55,Sunny  ,Sunny,Sanjo,Dining bar,Steak,33.0,14.0,3.48,3.33,3.35,39,35.008812616655696,135.770899871707,9.90990990990991,4.17910447761194
56,Gochiya  ,ご馳家,Kyoto,Izakaya (Tavern),Creative cuisine,33.0,,3.18,3.13,3.1,33,34.9884404609588,135.761279108682,10.543130990415335,
58,o-rudeidainingukaza  ,オールデイダイニング カザ,Kyoto,Buffet style,Cafe,42.0,24.0,3.41,3.08,3.52,15,34.9861608292917,135.752504109069,13.636363636363637,6.818181818181818
60,Manjirou  ,萬治郎,Gion Shijo,Kaiseki (Traditional Japanese),Kyoto Cuisine,117.0,33.0,3.57,3.54,3.53,57,35.0017457541648,135.780026105812,33.05084745762712,9.34844192634561
62,chuugokuryourichimmin  ,中国料理 青冥 祇園店,Gion Shijo,Chinese,Dim sum,52.0,14.0,3.5,3.21,3.52,44,35.0041359664734,135.775011689987,16.1993769470405,3.977272727272727
63,Hanasaki  ,花咲 錦店,Karasuma,Kyoto Cuisine,Kaiseki (Traditional Japanese),117.0,42.0,3.58,3.54,3.58,30,35.0043996209478,135.76320599164302,33.05084745762712,11.731843575418994
